Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length
"Don't Rock the Boat","Boulder Cluster > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106190607/dont-rock-the-boat,2.0,-1,Boulder,"V-easy PG13",1,15
"Funky Toe'n","Boulder Cluster > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106190613/funky-toen,1.0,-1,Boulder,V0,1,15
"Electric Dimension","Boulder Cluster > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107204644/electric-dimension,1.0,-1,Boulder,V1,1,
Trilogy,"Boulder Cluster > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106190619/trilogy,1.0,-1,Boulder,V3,1,15
"Mantle Midget","Mantle Midget Boulder > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107280908/mantle-midget,1.8,-1,Boulder,V3,1,8
"One Be Low","Mantle Midget Boulder > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109565893/one-be-low,2.0,-1,Boulder,V3+,1,
Unnamed,"Boulder > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107818978/unnamed,2.5,-1,Boulder,V3,1,13
"Center Crack","Chimney Rock > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674938/center-crack,2.4,-1,Boulder,V0,1,12
"Highball Jugs","Chimney Rock > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107818955/highball-jugs,2.0,-1,Boulder,"V0 R",1,20
"Right Arête","Chimney Rock > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674933/right-arete,1.5,-1,Boulder,V1,1,10
"Dyno Problem","Chimney Rock > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674945/dyno-problem,1.9,-1,Boulder,V2,1,8
"Moldy Cheese","Chimney Rock > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108846730/moldy-cheese,2.0,-1,Boulder,V2,1,15
"Chimney Rock Traverse","Chimney Rock > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108072169/chimney-rock-traverse,2.0,-1,Boulder,V3,1,20
"The Honey Pots","Vanishing Point Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674966/the-honey-pots,2.6,-1,Boulder,V2,1,12
"Flight of Osirus","Vanishing Point Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112048632/flight-of-osirus,3.0,-1,Boulder,V6,1,12
Snowblind,"Vanishing Point Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112048667/snowblind,3.5,-1,Boulder,V8,1,14
"Vanishing Point","Vanishing Point Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674959/vanishing-point,3.9,-1,Boulder,V9,1,16
Left,"Merope Boulder > Pleiades > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108089430/left,1.6,-1,Boulder,V1,1,12
